F3_digits_ratio,F24_unique_punct_ratio,F45_adjectives,F66_genitives,F87_gini,True_Label,Predicted_Label,Correct
0.0174672489082969,0.0021834061135371,9,19,0.115761689291101,0,1,False
0.0,0.0018518518518518,14,26,0.1982758620689655,0,1,False
0.0,0.002127659574468,5,18,0.1347061347061346,1,0,False
0.0,0.0017006802721088,9,31,0.1341832324978392,1,0,False
0.0,0.001937984496124,15,22,0.059014710913445,1,0,False
0.0068027210884353,0.0017006802721088,12,39,0.1242433896145269,0,1,False
0.0,5.480352934728996e-05,30,20,0.1485410424595783,1,0,False
0.0144167758846657,0.001310615989515,13,54,0.2563400839262909,1,0,False
0.0,0.0009532888465204,25,37,0.2076144658261446,0,1,False
0.0,0.0019011406844106,17,26,0.0599415204678362,1,0,False
0.0054512416717141,0.0006056935190793,22,41,0.2637178051511757,1,0,False
0.0,0.0038022813688212,14,38,0.2218174458611617,1,0,False
0.0060286360211002,0.0007535795026375,19,33,0.2334715937657113,1,0,False
0.0,0.0,22,42,0.2806324110671937,1,0,False
0.0,0.0012062726176115,13,46,0.152842889770405,1,0,False
0.0,0.0016556291390728,18,27,0.1316017316017317,1,0,False
0.010178117048346,0.0025445292620865,28,33,0.187809405940594,1,0,False
0.0,0.0018315018315018,9,34,0.0893137768465165,1,0,False
0.0,0.0043478260869565,12,28,0.0978705978705978,1,0,False
0.0,0.0018034265103697,21,36,0.1578613693998309,1,0,False
0.0,0.0012345679012345,14,40,0.1391915137614678,1,0,False
0.0,0.0018115942028985,12,34,0.1114010989010989,0,1,False
0.0,0.0022779043280182,9,16,0.1503652597402597,0,1,False
0.0,0.0019342359767891,17,32,0.0999657064471879,1,0,False
0.0,0.0015974440894568,19,24,0.1190970420342501,1,0,False
0.0,0.001019367991845,16,35,0.1813215400624349,1,0,False
0.0,0.0016528925619834,17,30,0.147571606475716,1,0,False
0.0040160642570281,0.001338688085676,7,53,0.1837732160312805,0,1,False
0.0,0.0015552099533437,22,23,0.0633484162895927,1,0,False
0.0,0.0014347202295552,16,26,0.1503567787971458,1,0,False
0.0,0.0020746887966804,6,22,0.1020233196159122,0,1,False
0.0,0.0020986358866736,24,43,0.1555496688741722,1,0,False
0.0041025641025641,0.001025641025641,23,37,0.1922063253012048,0,1,False
0.0,0.0010266940451745,20,34,0.2409802586793736,0,1,False
0.0,0.0,25,35,0.0969037440082912,0,1,False
0.0,0.0012345679012345,27,36,0.1257363770250368,0,1,False
0.0,0.0014025245441795,20,29,0.2203019260801665,0,1,False
0.0238500851788756,0.0017035775127768,17,30,0.1063725490196079,1,0,False
0.0,0.0019193857965451,16,27,0.1207117960007337,0,1,False
0.0063291139240506,0.0012658227848101,15,40,0.1839682539682539,0,1,False
0.0,0.0017482517482517,16,15,0.0952458482578963,1,0,False
0.0117474302496328,0.0014684287812041,14,34,0.1002553674453797,0,1,False
0.0,0.001082251082251,14,43,0.1865224722367579,1,0,False
0.0,0.0013123359580052,16,35,0.1222981563890655,1,0,False
0.0,0.00177304964539,17,25,0.0947916666666667,0,1,False
0.0,0.0021008403361344,10,31,0.2258953168044076,0,1,False
0.0190355329949238,0.0012690355329949,14,46,0.1555239449976291,0,1,False
0.0174418604651162,0.001937984496124,5,22,0.079696394686907,0,1,False
0.0,0.0018939393939393,10,31,0.1069803921568628,1,0,False
0.0021645021645021,0.0021645021645021,22,40,0.2657004830917874,0,1,False
0.0,0.0026075619295958,21,45,0.1628872564675822,1,0,False
0.0,0.0021645021645021,3,35,0.1765242789339174,0,1,False
0.0,0.0034364261168384,19,22,0.1333819241982506,1,0,False
0.0,0.0021008403361344,10,31,0.2258953168044076,0,1,False
0.0103448275862068,0.0017241379310344,19,26,0.0842049516748312,1,0,False
0.0,0.001937984496124,12,16,0.098249576510446,1,0,False
0.0,0.0015243902439024,10,43,0.1312461123781877,1,0,False
0.0,0.0017543859649122,10,33,0.1529411764705882,0,1,False
0.0,0.0019723865877712,17,17,0.0850495804729213,1,0,False
0.0068027210884353,0.0017006802721088,13,37,0.1966354109211252,0,1,False
0.0,0.0032258064516129,3,27,0.1036363636363637,1,0,False
0.0,0.0010706638115631,22,32,0.0869296528993717,1,0,False
0.0,0.0011848341232227,13,46,0.2102443380144492,1,0,False
0.0,0.0011961722488038,14,44,0.2172234699606962,1,0,False
0.0068027210884353,0.0017006802721088,13,37,0.1966354109211252,0,1,False
0.0,0.0018083182640144,7,28,0.1252990430622008,1,0,False
0.002840909090909,0.0014204545454545,18,47,0.2395348837209301,0,1,False
0.0,0.0013831258644536,25,27,0.1187092160543488,0,1,False
0.0,0.0014598540145985,28,25,0.1847870597870598,0,1,False
0.0183220829315332,0.0019286403085824,21,52,0.2366138359391733,0,1,False
0.0,0.0042735042735042,15,20,0.2478991596638655,1,0,False
0.0,0.0018975332068311,6,39,0.1381284666308821,1,0,False
0.0,0.0017123287671232,14,29,0.1738203957382039,0,1,False
0.0015810276679841,0.000790513833992,30,30,0.2566537761601456,0,1,False
0.0,0.000823723228995,9,43,0.1841125670041692,1,0,False
0.0,0.0016920473773265,12,25,0.1696296296296295,0,1,False
0.0,0.0018248175182481,10,19,0.1105743424584004,1,0,False
0.0,0.0011467889908256,18,38,0.1451573849878935,0,1,False
0.0,0.0010964912280701,14,52,0.1809982703236965,0,1,False
0.0,0.0014025245441795,20,29,0.2203019260801665,0,1,False
0.0,0.0010928961748633,13,51,0.3093611410763515,0,1,False
0.0,0.0012180267965895,25,45,0.2057338086749851,0,1,False
0.0,0.0021186440677966,10,18,0.1399787910922587,0,1,False
0.0,0.0015552099533437,17,34,0.1273460960960961,0,1,False
0.0,0.002002002002002,34,28,0.1835213966361508,0,1,False
0.0,0.0,18,37,0.2646144278606965,1,0,False
0.0,0.0015267175572519,16,36,0.1666987302808773,0,1,False
0.0,0.0019646365422396,15,31,0.1398534565148136,0,1,False
0.0,0.0016474464579901,10,35,0.2018181818181818,0,1,False
0.0,0.0020964360587002,10,26,0.0840445269016697,1,0,False
0.003731343283582,0.001865671641791,8,31,0.1829004329004329,0,1,False
0.0,0.0021141649048625,9,29,0.1024236037934668,1,0,False
0.0,0.0019305019305019,19,20,0.1883685023160061,0,1,False
0.0,0.0015105740181268,16,27,0.1013201320132013,1,0,False
0.0025062656641604,0.0012531328320802,11,43,0.2388235294117646,0,1,False
0.0,0.0020449897750511,18,18,0.1188772702256466,0,1,False
0.0,0.0016638935108153,16,22,0.1632327952421409,0,1,False
0.0,0.0018518518518518,14,26,0.1982758620689655,0,1,False
0.0,0.0021141649048625,10,28,0.1037335121842163,1,0,False
0.0,0.0016528925619834,21,24,0.1588588588588588,0,1,False
0.0064516129032258,0.0016129032258064,17,34,0.1626602564102564,0,1,False
0.0,0.001081081081081,11,30,0.2249652984334721,1,0,False
0.0131233595800524,0.0013123359580052,18,52,0.1973118279569893,1,0,False
0.0,0.0017123287671232,14,29,0.1738203957382039,0,1,False
0.0,0.001564945226917,14,37,0.176510989010989,0,1,False
0.0,0.0016474464579901,10,35,0.2018181818181818,0,1,False
0.0160295930949445,0.001233045622688,25,47,0.2807987711213517,0,1,False
0.0,0.0034129692832764,11,38,0.3051317614424411,1,0,False
0.0,0.0016366612111292,21,30,0.1006969136680415,1,0,False
0.0,0.0036166365280289,18,19,0.0998046239010095,1,0,False
0.0,0.0029368575624082,17,30,0.1972329472329472,1,0,False
0.0,0.0009380863039399,23,46,0.2121907332433648,0,1,False
